Images\trainX_0.tif SegmentationClass\trainX_0.png
Images\trainX_108.tif SegmentationClass\trainX_108.png
Images\trainX_1080.tif SegmentationClass\trainX_1080.png
Images\trainX_1081.tif SegmentationClass\trainX_1081.png
Images\trainX_1082.tif SegmentationClass\trainX_1082.png
Images\trainX_1083.tif SegmentationClass\trainX_1083.png
Images\trainX_1084.tif SegmentationClass\trainX_1084.png
Images\trainX_1085.tif SegmentationClass\trainX_1085.png
Images\trainX_1086.tif SegmentationClass\trainX_1086.png
Images\trainX_1087.tif SegmentationClass\trainX_1087.png
Images\trainX_1088.tif SegmentationClass\trainX_1088.png
Images\trainX_1089.tif SegmentationClass\trainX_1089.png
Images\trainX_109.tif SegmentationClass\trainX_109.png
Images\trainX_1090.tif SegmentationClass\trainX_1090.png
Images\trainX_1091.tif SegmentationClass\trainX_1091.png
Images\trainX_1092.tif SegmentationClass\trainX_1092.png
Images\trainX_1093.tif SegmentationClass\trainX_1093.png
Images\trainX_1094.tif SegmentationClass\trainX_1094.png
Images\trainX_1095.tif SegmentationClass\trainX_1095.png
Images\trainX_1096.tif SegmentationClass\trainX_1096.png
Images\trainX_1097.tif SegmentationClass\trainX_1097.png
Images\trainX_1098.tif SegmentationClass\trainX_1098.png
Images\trainX_1099.tif SegmentationClass\trainX_1099.png
Images\trainX_11.tif SegmentationClass\trainX_11.png
Images\trainX_110.tif SegmentationClass\trainX_110.png
Images\trainX_1100.tif SegmentationClass\trainX_1100.png
Images\trainX_1101.tif SegmentationClass\trainX_1101.png
Images\trainX_1102.tif SegmentationClass\trainX_1102.png
Images\trainX_1103.tif SegmentationClass\trainX_1103.png
Images\trainX_1104.tif SegmentationClass\trainX_1104.png
Images\trainX_1105.tif SegmentationClass\trainX_1105.png
Images\trainX_1106.tif SegmentationClass\trainX_1106.png
Images\trainX_1107.tif SegmentationClass\trainX_1107.png
Images\trainX_1108.tif SegmentationClass\trainX_1108.png
Images\trainX_1109.tif SegmentationClass\trainX_1109.png
Images\trainX_111.tif SegmentationClass\trainX_111.png
Images\trainX_1110.tif SegmentationClass\trainX_1110.png
Images\trainX_1111.tif SegmentationClass\trainX_1111.png
Images\trainX_1112.tif SegmentationClass\trainX_1112.png
Images\trainX_1113.tif SegmentationClass\trainX_1113.png
Images\trainX_1114.tif SegmentationClass\trainX_1114.png
Images\trainX_1115.tif SegmentationClass\trainX_1115.png
Images\trainX_1116.tif SegmentationClass\trainX_1116.png
Images\trainX_1117.tif SegmentationClass\trainX_1117.png
Images\trainX_1118.tif SegmentationClass\trainX_1118.png
Images\trainX_112.tif SegmentationClass\trainX_112.png
Images\trainX_113.tif SegmentationClass\trainX_113.png
Images\trainX_114.tif SegmentationClass\trainX_114.png
Images\trainX_115.tif SegmentationClass\trainX_115.png
Images\trainX_116.tif SegmentationClass\trainX_116.png
Images\trainX_117.tif SegmentationClass\trainX_117.png
Images\trainX_118.tif SegmentationClass\trainX_118.png
Images\trainX_119.tif SegmentationClass\trainX_119.png
Images\trainX_12.tif SegmentationClass\trainX_12.png
Images\trainX_120.tif SegmentationClass\trainX_120.png
Images\trainX_121.tif SegmentationClass\trainX_121.png
Images\trainX_122.tif SegmentationClass\trainX_122.png
Images\trainX_123.tif SegmentationClass\trainX_123.png
Images\trainX_124.tif SegmentationClass\trainX_124.png
Images\trainX_125.tif SegmentationClass\trainX_125.png
Images\trainX_126.tif SegmentationClass\trainX_126.png
Images\trainX_127.tif SegmentationClass\trainX_127.png
Images\trainX_128.tif SegmentationClass\trainX_128.png
Images\trainX_129.tif SegmentationClass\trainX_129.png
Images\trainX_13.tif SegmentationClass\trainX_13.png
Images\trainX_130.tif SegmentationClass\trainX_130.png
Images\trainX_131.tif SegmentationClass\trainX_131.png
Images\trainX_132.tif SegmentationClass\trainX_132.png
Images\trainX_133.tif SegmentationClass\trainX_133.png
Images\trainX_134.tif SegmentationClass\trainX_134.png
Images\trainX_135.tif SegmentationClass\trainX_135.png
Images\trainX_136.tif SegmentationClass\trainX_136.png
Images\trainX_137.tif SegmentationClass\trainX_137.png
Images\trainX_138.tif SegmentationClass\trainX_138.png
Images\trainX_139.tif SegmentationClass\trainX_139.png
Images\trainX_14.tif SegmentationClass\trainX_14.png
Images\trainX_140.tif SegmentationClass\trainX_140.png
Images\trainX_141.tif SegmentationClass\trainX_141.png
Images\trainX_142.tif SegmentationClass\trainX_142.png
Images\trainX_143.tif SegmentationClass\trainX_143.png
Images\trainX_144.tif SegmentationClass\trainX_144.png
Images\trainX_145.tif SegmentationClass\trainX_145.png
Images\trainX_146.tif SegmentationClass\trainX_146.png
Images\trainX_147.tif SegmentationClass\trainX_147.png
Images\trainX_148.tif SegmentationClass\trainX_148.png
Images\trainX_149.tif SegmentationClass\trainX_149.png
Images\trainX_15.tif SegmentationClass\trainX_15.png
Images\trainX_150.tif SegmentationClass\trainX_150.png
Images\trainX_151.tif SegmentationClass\trainX_151.png
Images\trainX_152.tif SegmentationClass\trainX_152.png
Images\trainX_153.tif SegmentationClass\trainX_153.png
Images\trainX_154.tif SegmentationClass\trainX_154.png
Images\trainX_155.tif SegmentationClass\trainX_155.png
Images\trainX_156.tif SegmentationClass\trainX_156.png
Images\trainX_157.tif SegmentationClass\trainX_157.png
Images\trainX_158.tif SegmentationClass\trainX_158.png
Images\trainX_159.tif SegmentationClass\trainX_159.png
Images\trainX_16.tif SegmentationClass\trainX_16.png
Images\trainX_160.tif SegmentationClass\trainX_160.png
Images\trainX_161.tif SegmentationClass\trainX_161.png
Images\trainX_162.tif SegmentationClass\trainX_162.png
Images\trainX_163.tif SegmentationClass\trainX_163.png
Images\trainX_164.tif SegmentationClass\trainX_164.png
Images\trainX_165.tif SegmentationClass\trainX_165.png
Images\trainX_166.tif SegmentationClass\trainX_166.png
Images\trainX_167.tif SegmentationClass\trainX_167.png
Images\trainX_168.tif SegmentationClass\trainX_168.png
Images\trainX_169.tif SegmentationClass\trainX_169.png
Images\trainX_17.tif SegmentationClass\trainX_17.png
Images\trainX_170.tif SegmentationClass\trainX_170.png
Images\trainX_171.tif SegmentationClass\trainX_171.png
Images\trainX_172.tif SegmentationClass\trainX_172.png
Images\trainX_173.tif SegmentationClass\trainX_173.png
Images\trainX_174.tif SegmentationClass\trainX_174.png
Images\trainX_175.tif SegmentationClass\trainX_175.png
Images\trainX_176.tif SegmentationClass\trainX_176.png
Images\trainX_177.tif SegmentationClass\trainX_177.png
Images\trainX_178.tif SegmentationClass\trainX_178.png
Images\trainX_179.tif SegmentationClass\trainX_179.png
Images\trainX_18.tif SegmentationClass\trainX_18.png
Images\trainX_180.tif SegmentationClass\trainX_180.png
Images\trainX_181.tif SegmentationClass\trainX_181.png
Images\trainX_182.tif SegmentationClass\trainX_182.png
Images\trainX_183.tif SegmentationClass\trainX_183.png
Images\trainX_184.tif SegmentationClass\trainX_184.png
Images\trainX_185.tif SegmentationClass\trainX_185.png
Images\trainX_186.tif SegmentationClass\trainX_186.png
Images\trainX_187.tif SegmentationClass\trainX_187.png
Images\trainX_188.tif SegmentationClass\trainX_188.png
Images\trainX_189.tif SegmentationClass\trainX_189.png
Images\trainX_19.tif SegmentationClass\trainX_19.png
Images\trainX_190.tif SegmentationClass\trainX_190.png
Images\trainX_191.tif SegmentationClass\trainX_191.png
Images\trainX_192.tif SegmentationClass\trainX_192.png
Images\trainX_193.tif SegmentationClass\trainX_193.png
Images\trainX_194.tif SegmentationClass\trainX_194.png
Images\trainX_195.tif SegmentationClass\trainX_195.png
Images\trainX_196.tif SegmentationClass\trainX_196.png
Images\trainX_197.tif SegmentationClass\trainX_197.png
Images\trainX_198.tif SegmentationClass\trainX_198.png
Images\trainX_199.tif SegmentationClass\trainX_199.png
Images\trainX_2.tif SegmentationClass\trainX_2.png
Images\trainX_20.tif SegmentationClass\trainX_20.png
Images\trainX_200.tif SegmentationClass\trainX_200.png
Images\trainX_201.tif SegmentationClass\trainX_201.png
Images\trainX_202.tif SegmentationClass\trainX_202.png
Images\trainX_203.tif SegmentationClass\trainX_203.png
Images\trainX_204.tif SegmentationClass\trainX_204.png
Images\trainX_205.tif SegmentationClass\trainX_205.png
Images\trainX_206.tif SegmentationClass\trainX_206.png
Images\trainX_207.tif SegmentationClass\trainX_207.png
Images\trainX_208.tif SegmentationClass\trainX_208.png
Images\trainX_209.tif SegmentationClass\trainX_209.png
Images\trainX_21.tif SegmentationClass\trainX_21.png
Images\trainX_210.tif SegmentationClass\trainX_210.png
Images\trainX_211.tif SegmentationClass\trainX_211.png
Images\trainX_212.tif SegmentationClass\trainX_212.png
Images\trainX_213.tif SegmentationClass\trainX_213.png
Images\trainX_214.tif SegmentationClass\trainX_214.png
Images\trainX_215.tif SegmentationClass\trainX_215.png
Images\trainX_216.tif SegmentationClass\trainX_216.png
Images\trainX_217.tif SegmentationClass\trainX_217.png
Images\trainX_218.tif SegmentationClass\trainX_218.png
Images\trainX_219.tif SegmentationClass\trainX_219.png
Images\trainX_22.tif SegmentationClass\trainX_22.png
Images\trainX_220.tif SegmentationClass\trainX_220.png
Images\trainX_221.tif SegmentationClass\trainX_221.png
Images\trainX_222.tif SegmentationClass\trainX_222.png
Images\trainX_223.tif SegmentationClass\trainX_223.png
Images\trainX_224.tif SegmentationClass\trainX_224.png
Images\trainX_225.tif SegmentationClass\trainX_225.png
Images\trainX_226.tif SegmentationClass\trainX_226.png
Images\trainX_227.tif SegmentationClass\trainX_227.png
Images\trainX_228.tif SegmentationClass\trainX_228.png
Images\trainX_229.tif SegmentationClass\trainX_229.png
Images\trainX_23.tif SegmentationClass\trainX_23.png
Images\trainX_230.tif SegmentationClass\trainX_230.png
Images\trainX_231.tif SegmentationClass\trainX_231.png
Images\trainX_232.tif SegmentationClass\trainX_232.png
Images\trainX_233.tif SegmentationClass\trainX_233.png
Images\trainX_234.tif SegmentationClass\trainX_234.png
Images\trainX_235.tif SegmentationClass\trainX_235.png
Images\trainX_236.tif SegmentationClass\trainX_236.png
Images\trainX_237.tif SegmentationClass\trainX_237.png
Images\trainX_238.tif SegmentationClass\trainX_238.png
Images\trainX_239.tif SegmentationClass\trainX_239.png
Images\trainX_24.tif SegmentationClass\trainX_24.png
Images\trainX_240.tif SegmentationClass\trainX_240.png
Images\trainX_241.tif SegmentationClass\trainX_241.png
Images\trainX_242.tif SegmentationClass\trainX_242.png
Images\trainX_243.tif SegmentationClass\trainX_243.png
Images\trainX_244.tif SegmentationClass\trainX_244.png
Images\trainX_245.tif SegmentationClass\trainX_245.png
Images\trainX_246.tif SegmentationClass\trainX_246.png
Images\trainX_247.tif SegmentationClass\trainX_247.png
Images\trainX_248.tif SegmentationClass\trainX_248.png
Images\trainX_249.tif SegmentationClass\trainX_249.png
Images\trainX_25.tif SegmentationClass\trainX_25.png
Images\trainX_250.tif SegmentationClass\trainX_250.png
Images\trainX_251.tif SegmentationClass\trainX_251.png
Images\trainX_252.tif SegmentationClass\trainX_252.png
Images\trainX_253.tif SegmentationClass\trainX_253.png
Images\trainX_254.tif SegmentationClass\trainX_254.png
Images\trainX_255.tif SegmentationClass\trainX_255.png
Images\trainX_256.tif SegmentationClass\trainX_256.png
Images\trainX_257.tif SegmentationClass\trainX_257.png
Images\trainX_258.tif SegmentationClass\trainX_258.png
Images\trainX_259.tif SegmentationClass\trainX_259.png
Images\trainX_26.tif SegmentationClass\trainX_26.png
Images\trainX_260.tif SegmentationClass\trainX_260.png
Images\trainX_261.tif SegmentationClass\trainX_261.png
Images\trainX_262.tif SegmentationClass\trainX_262.png
Images\trainX_263.tif SegmentationClass\trainX_263.png
Images\trainX_264.tif SegmentationClass\trainX_264.png
Images\trainX_265.tif SegmentationClass\trainX_265.png
Images\trainX_266.tif SegmentationClass\trainX_266.png
Images\trainX_267.tif SegmentationClass\trainX_267.png
Images\trainX_268.tif SegmentationClass\trainX_268.png
Images\trainX_269.tif SegmentationClass\trainX_269.png
Images\trainX_27.tif SegmentationClass\trainX_27.png
Images\trainX_270.tif SegmentationClass\trainX_270.png
Images\trainX_271.tif SegmentationClass\trainX_271.png
Images\trainX_272.tif SegmentationClass\trainX_272.png
Images\trainX_273.tif SegmentationClass\trainX_273.png
Images\trainX_274.tif SegmentationClass\trainX_274.png
Images\trainX_275.tif SegmentationClass\trainX_275.png
Images\trainX_276.tif SegmentationClass\trainX_276.png
Images\trainX_277.tif SegmentationClass\trainX_277.png
Images\trainX_278.tif SegmentationClass\trainX_278.png
Images\trainX_279.tif SegmentationClass\trainX_279.png
Images\trainX_28.tif SegmentationClass\trainX_28.png
Images\trainX_280.tif SegmentationClass\trainX_280.png
Images\trainX_281.tif SegmentationClass\trainX_281.png
Images\trainX_282.tif SegmentationClass\trainX_282.png
Images\trainX_283.tif SegmentationClass\trainX_283.png
Images\trainX_284.tif SegmentationClass\trainX_284.png
Images\trainX_285.tif SegmentationClass\trainX_285.png
Images\trainX_286.tif SegmentationClass\trainX_286.png
Images\trainX_287.tif SegmentationClass\trainX_287.png
Images\trainX_288.tif SegmentationClass\trainX_288.png
Images\trainX_289.tif SegmentationClass\trainX_289.png
Images\trainX_29.tif SegmentationClass\trainX_29.png
Images\trainX_290.tif SegmentationClass\trainX_290.png
Images\trainX_291.tif SegmentationClass\trainX_291.png
Images\trainX_292.tif SegmentationClass\trainX_292.png
Images\trainX_293.tif SegmentationClass\trainX_293.png
Images\trainX_294.tif SegmentationClass\trainX_294.png
Images\trainX_295.tif SegmentationClass\trainX_295.png
Images\trainX_296.tif SegmentationClass\trainX_296.png
Images\trainX_297.tif SegmentationClass\trainX_297.png
Images\trainX_298.tif SegmentationClass\trainX_298.png
Images\trainX_299.tif SegmentationClass\trainX_299.png
Images\trainX_3.tif SegmentationClass\trainX_3.png
Images\trainX_30.tif SegmentationClass\trainX_30.png
Images\trainX_300.tif SegmentationClass\trainX_300.png
Images\trainX_301.tif SegmentationClass\trainX_301.png
Images\trainX_302.tif SegmentationClass\trainX_302.png
Images\trainX_303.tif SegmentationClass\trainX_303.png
Images\trainX_304.tif SegmentationClass\trainX_304.png
Images\trainX_305.tif SegmentationClass\trainX_305.png
Images\trainX_306.tif SegmentationClass\trainX_306.png
Images\trainX_307.tif SegmentationClass\trainX_307.png
Images\trainX_308.tif SegmentationClass\trainX_308.png
Images\trainX_309.tif SegmentationClass\trainX_309.png
Images\trainX_31.tif SegmentationClass\trainX_31.png
Images\trainX_310.tif SegmentationClass\trainX_310.png
Images\trainX_311.tif SegmentationClass\trainX_311.png
Images\trainX_312.tif SegmentationClass\trainX_312.png
Images\trainX_313.tif SegmentationClass\trainX_313.png
Images\trainX_314.tif SegmentationClass\trainX_314.png
Images\trainX_315.tif SegmentationClass\trainX_315.png
Images\trainX_316.tif SegmentationClass\trainX_316.png
Images\trainX_317.tif SegmentationClass\trainX_317.png
Images\trainX_318.tif SegmentationClass\trainX_318.png
Images\trainX_319.tif SegmentationClass\trainX_319.png
Images\trainX_32.tif SegmentationClass\trainX_32.png
Images\trainX_320.tif SegmentationClass\trainX_320.png
Images\trainX_321.tif SegmentationClass\trainX_321.png
Images\trainX_322.tif SegmentationClass\trainX_322.png
Images\trainX_323.tif SegmentationClass\trainX_323.png
Images\trainX_324.tif SegmentationClass\trainX_324.png
Images\trainX_325.tif SegmentationClass\trainX_325.png
Images\trainX_326.tif SegmentationClass\trainX_326.png
Images\trainX_327.tif SegmentationClass\trainX_327.png
Images\trainX_328.tif SegmentationClass\trainX_328.png
Images\trainX_329.tif SegmentationClass\trainX_329.png
Images\trainX_33.tif SegmentationClass\trainX_33.png
Images\trainX_330.tif SegmentationClass\trainX_330.png
Images\trainX_331.tif SegmentationClass\trainX_331.png
Images\trainX_332.tif SegmentationClass\trainX_332.png
Images\trainX_333.tif SegmentationClass\trainX_333.png
Images\trainX_334.tif SegmentationClass\trainX_334.png
Images\trainX_335.tif SegmentationClass\trainX_335.png
Images\trainX_336.tif SegmentationClass\trainX_336.png
Images\trainX_337.tif SegmentationClass\trainX_337.png
Images\trainX_338.tif SegmentationClass\trainX_338.png
Images\trainX_339.tif SegmentationClass\trainX_339.png
Images\trainX_34.tif SegmentationClass\trainX_34.png
Images\trainX_340.tif SegmentationClass\trainX_340.png
Images\trainX_341.tif SegmentationClass\trainX_341.png
Images\trainX_342.tif SegmentationClass\trainX_342.png
Images\trainX_343.tif SegmentationClass\trainX_343.png
Images\trainX_344.tif SegmentationClass\trainX_344.png
Images\trainX_345.tif SegmentationClass\trainX_345.png
Images\trainX_346.tif SegmentationClass\trainX_346.png
Images\trainX_347.tif SegmentationClass\trainX_347.png
Images\trainX_348.tif SegmentationClass\trainX_348.png
Images\trainX_349.tif SegmentationClass\trainX_349.png
Images\trainX_35.tif SegmentationClass\trainX_35.png
Images\trainX_350.tif SegmentationClass\trainX_350.png
Images\trainX_351.tif SegmentationClass\trainX_351.png
Images\trainX_352.tif SegmentationClass\trainX_352.png
Images\trainX_353.tif SegmentationClass\trainX_353.png
Images\trainX_354.tif SegmentationClass\trainX_354.png
Images\trainX_355.tif SegmentationClass\trainX_355.png
Images\trainX_356.tif SegmentationClass\trainX_356.png
Images\trainX_357.tif SegmentationClass\trainX_357.png
Images\trainX_358.tif SegmentationClass\trainX_358.png
Images\trainX_359.tif SegmentationClass\trainX_359.png
Images\trainX_36.tif SegmentationClass\trainX_36.png
Images\trainX_360.tif SegmentationClass\trainX_360.png
Images\trainX_361.tif SegmentationClass\trainX_361.png
Images\trainX_362.tif SegmentationClass\trainX_362.png
Images\trainX_363.tif SegmentationClass\trainX_363.png
Images\trainX_364.tif SegmentationClass\trainX_364.png
Images\trainX_365.tif SegmentationClass\trainX_365.png
Images\trainX_366.tif SegmentationClass\trainX_366.png
Images\trainX_367.tif SegmentationClass\trainX_367.png
Images\trainX_368.tif SegmentationClass\trainX_368.png
Images\trainX_369.tif SegmentationClass\trainX_369.png
Images\trainX_37.tif SegmentationClass\trainX_37.png
Images\trainX_370.tif SegmentationClass\trainX_370.png
Images\trainX_371.tif SegmentationClass\trainX_371.png
Images\trainX_372.tif SegmentationClass\trainX_372.png
Images\trainX_373.tif SegmentationClass\trainX_373.png
Images\trainX_374.tif SegmentationClass\trainX_374.png
Images\trainX_375.tif SegmentationClass\trainX_375.png
Images\trainX_376.tif SegmentationClass\trainX_376.png
Images\trainX_377.tif SegmentationClass\trainX_377.png
Images\trainX_378.tif SegmentationClass\trainX_378.png
Images\trainX_379.tif SegmentationClass\trainX_379.png
Images\trainX_38.tif SegmentationClass\trainX_38.png
Images\trainX_380.tif SegmentationClass\trainX_380.png
Images\trainX_381.tif SegmentationClass\trainX_381.png
Images\trainX_382.tif SegmentationClass\trainX_382.png
Images\trainX_383.tif SegmentationClass\trainX_383.png
Images\trainX_384.tif SegmentationClass\trainX_384.png
Images\trainX_385.tif SegmentationClass\trainX_385.png
Images\trainX_386.tif SegmentationClass\trainX_386.png
Images\trainX_387.tif SegmentationClass\trainX_387.png
Images\trainX_388.tif SegmentationClass\trainX_388.png
Images\trainX_389.tif SegmentationClass\trainX_389.png
Images\trainX_39.tif SegmentationClass\trainX_39.png
Images\trainX_390.tif SegmentationClass\trainX_390.png
Images\trainX_391.tif SegmentationClass\trainX_391.png
Images\trainX_392.tif SegmentationClass\trainX_392.png
Images\trainX_393.tif SegmentationClass\trainX_393.png
Images\trainX_394.tif SegmentationClass\trainX_394.png
Images\trainX_395.tif SegmentationClass\trainX_395.png
Images\trainX_396.tif SegmentationClass\trainX_396.png
Images\trainX_397.tif SegmentationClass\trainX_397.png
Images\trainX_398.tif SegmentationClass\trainX_398.png
Images\trainX_399.tif SegmentationClass\trainX_399.png
Images\trainX_4.tif SegmentationClass\trainX_4.png
Images\trainX_40.tif SegmentationClass\trainX_40.png
Images\trainX_400.tif SegmentationClass\trainX_400.png
Images\trainX_401.tif SegmentationClass\trainX_401.png
Images\trainX_402.tif SegmentationClass\trainX_402.png
Images\trainX_403.tif SegmentationClass\trainX_403.png
Images\trainX_404.tif SegmentationClass\trainX_404.png
Images\trainX_405.tif SegmentationClass\trainX_405.png
Images\trainX_406.tif SegmentationClass\trainX_406.png
Images\trainX_407.tif SegmentationClass\trainX_407.png
Images\trainX_408.tif SegmentationClass\trainX_408.png
Images\trainX_409.tif SegmentationClass\trainX_409.png
Images\trainX_41.tif SegmentationClass\trainX_41.png
Images\trainX_410.tif SegmentationClass\trainX_410.png
Images\trainX_411.tif SegmentationClass\trainX_411.png
Images\trainX_412.tif SegmentationClass\trainX_412.png
Images\trainX_413.tif SegmentationClass\trainX_413.png
Images\trainX_414.tif SegmentationClass\trainX_414.png
Images\trainX_415.tif SegmentationClass\trainX_415.png
Images\trainX_416.tif SegmentationClass\trainX_416.png
Images\trainX_417.tif SegmentationClass\trainX_417.png
Images\trainX_418.tif SegmentationClass\trainX_418.png
Images\trainX_419.tif SegmentationClass\trainX_419.png
Images\trainX_42.tif SegmentationClass\trainX_42.png
Images\trainX_420.tif SegmentationClass\trainX_420.png
Images\trainX_421.tif SegmentationClass\trainX_421.png
Images\trainX_422.tif SegmentationClass\trainX_422.png
Images\trainX_423.tif SegmentationClass\trainX_423.png
Images\trainX_424.tif SegmentationClass\trainX_424.png
Images\trainX_425.tif SegmentationClass\trainX_425.png
Images\trainX_426.tif SegmentationClass\trainX_426.png
Images\trainX_427.tif SegmentationClass\trainX_427.png
Images\trainX_428.tif SegmentationClass\trainX_428.png
Images\trainX_429.tif SegmentationClass\trainX_429.png
Images\trainX_43.tif SegmentationClass\trainX_43.png
Images\trainX_430.tif SegmentationClass\trainX_430.png
Images\trainX_431.tif SegmentationClass\trainX_431.png
Images\trainX_432.tif SegmentationClass\trainX_432.png
Images\trainX_433.tif SegmentationClass\trainX_433.png
Images\trainX_434.tif SegmentationClass\trainX_434.png
Images\trainX_435.tif SegmentationClass\trainX_435.png
Images\trainX_436.tif SegmentationClass\trainX_436.png
Images\trainX_437.tif SegmentationClass\trainX_437.png
Images\trainX_438.tif SegmentationClass\trainX_438.png
Images\trainX_439.tif SegmentationClass\trainX_439.png
Images\trainX_44.tif SegmentationClass\trainX_44.png
Images\trainX_440.tif SegmentationClass\trainX_440.png
Images\trainX_441.tif SegmentationClass\trainX_441.png
Images\trainX_442.tif SegmentationClass\trainX_442.png
Images\trainX_443.tif SegmentationClass\trainX_443.png
Images\trainX_444.tif SegmentationClass\trainX_444.png
Images\trainX_445.tif SegmentationClass\trainX_445.png
Images\trainX_446.tif SegmentationClass\trainX_446.png
Images\trainX_447.tif SegmentationClass\trainX_447.png
Images\trainX_448.tif SegmentationClass\trainX_448.png
